公司代號,公司簡稱,產業排位,2026實力指標,族群細分類 - 規格與應用導向,關鍵技術 / 產能指標 / 報價變量
1101,台泥,台灣水泥與儲能龍頭,台灣低碳水泥市佔第一、能元科技三元電芯全球前五。,低碳水泥 / 儲能 EPC / 鋰三元電芯,減碳製程、能元科技 (Molicel) 高功率電芯、能芯儲能系統
1102,亞泥,,,熟料 / 波特蘭水泥 / 中國基建供需,旋窯製程效率、中國海螺水泥連動報價、內地基建開工率
1103,嘉泥,,,資產活化 / 旅宿開發 / 散裝倉儲,土地開發資產評估、散裝航運卸料港口倉儲吞吐量
1104,環泥,台灣石膏板龍頭,台灣石膏板市佔率第一（超過 70%）。,石膏板 (高市佔) / 混凝土 / 壓力感測,內裝建材規格、超薄型壓力感測組件 (利基型電子)
1108,幸福,,,東部熟料生產 / 公共工程專案,熟料自給率、國內政府標案預拌混凝土供應週期
1109,信大,,,熟料粉磨 / 兩岸產能調度,南京廠產能利用率、水泥粉磨設備稼動率
1110,東泥,,,高爐石粉 / 水泥製品 / 南部營建,S95 級高爐石粉、台南高雄科學園區擴廠供需
1201,味全,,,冷藏乳品 (高規) / 調味品報價,HTST/UHT 殺菌技術、兩岸冷鏈物流滲透率
1203,味王,,,MSG (味精) 產能 / 速食麵 / 泰國子公司,麩胺酸鈉發酵技術、東南亞食品市場出口報價
1210,大成,,,白肉雞一條龍 / 飼料原料報價,CBOT 黃豆/玉米報價連動、種雞孵化至電宰全整合
1213,大飲,,,碳酸飲料 / 傳統零售通路,鋁箔包/瓶裝填充線、傳統雜貨通路 (TT) 覆蓋率
1215,卜蜂,台灣肉品加工龍頭 / 全球最大飼料廠成員,母公司泰國正大集團為全球最大飼料商；台灣電宰肉品前三。,飼料加工 / 種雞育成 / 肉品深加工,飼料配方成本控制、加熱即食 (RTC/RTE) 生產線
1216,統一,台灣食品與零售龍頭,台灣最大食品集團，擁有全台最強便利商店通路 (7-11)。,食品零售投控 / 超商通路 / 亞洲糧油,統一超 (7-11) 平台價值、亞洲糧油採購規模經濟
1217,愛之味,,,植物奶技術 / 燕麥奶 / 罐頭加工,酵素水解技術 (燕麥奶)、耐熱充填技術 (罐頭加工)
1218,泰山,,,食用油脂精煉 / 純水生產 / 通路轉投資,脫臭/脫色油脂精煉製程、PET 瓶裝水產線稼動率
1219,福壽,,,寵物食品 / 有機肥料 / 飼料穀物,膨化飼料生產技術 (高毛利)、肉粉/穀物原料配比
1220,台榮,,,玉米澱粉 / 高果糖漿 / 壓榨副產品,玉米濕磨製程 (Wet Milling)、果糖 55/42 規格切換
1225,福懋油,,,大豆壓榨 / 精煉油脂 / 麵粉加工,油脂壓榨率 (Crush Margin)、麵粉筋度分類加工
1227,佳格,台灣燕麥與保健食品龍頭,桂格燕麥、得意的一天油品在台市佔皆為第一。,燕麥機能食品 / 高端食用油 / 代理,營養科學研發、高端品牌溢價 (葵花油/燕麥片)
1229,聯華,,,麵粉加工 / 工業氣體 / 系統整合,聯華林德 (電子級氣體)、麵粉特?開發、MiTAC 整合
1231,聯華食,台灣休閒零食與鮮食龍頭,可樂果、萬歲牌市佔領先；全家超商最大鮮食供應商。,休閒品牌 / 超商 18度C 鮮食供應鏈,鮮食廠 HACCP 規格、萬歲牌/可樂果品牌通路力
1232,大統益,亞洲最大黃豆油廠 / 台灣油脂龍頭,台灣黃豆粉與精製沙拉油市佔第一（超過 30%）。,大豆壓榨 (龍頭) / 豆粉與沙拉油,台灣最大油脂壓榨產能、黃豆粉報價 (飼料上游)
1233,天仁,,,茶葉精製 / 茶飲通路,茶葉烘焙精製技術、喫茶趣 (B2C) 與零售佔比
1234,黑松,台灣本土飲料龍頭,台灣碳酸飲料與沙士品類市佔第一。,碳酸填充 / 酒類代理 / 自販機,高壓碳酸充填設備、金門高粱代理權、自販機物聯網
1235,興泰,,,水產飼料 / 畜產配合飼料,高蛋白質水產飼料、代工生產 (OEM) 稼動率
1236,宏亞,,,巧克力餅乾加工 / 節慶禮盒,巧克力塗層技術、自動化餅乾生產線、觀光工廠
1256,鮮活果汁-KY,中國果汁飲品原料龍頭,中國連鎖餐飲與茶飲體系最大果漿供應商。,果汁濃縮還原 / 顆粒填裝 / 飲品研發,高倍數濃縮技術、UHT 瞬間滅菌、中國手搖飲滲透率
1301,台塑,台灣石化龍頭 / 全球 PVC 前三,全球最大 PVC 生產商之一，台灣石化產業鏈核心。,PVC 聚氯乙烯 / 燒鹼 / 特殊化學品,電石法 vs 乙烯法成本、VCM 轉化率、碳纖維 (航太級)
