出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/04/11","115/3","1240","茂生農經","農業科技","268329","205555","249994","30.53878523996011","7.3341760202244854","689952","683656","0.9209309945352634","-"
"115/04/11","115/3","1259","安心","觀光餐旅","517804","493761","494052","4.869359872488917","4.807591103770453","1522360","1469652","3.58642726305275","-"
"115/04/11","115/3","1264","德麥","食品工業","562663","451745","554832","24.55323246521821","1.41141823110419","1735229","1648839","5.239444239249557","-"
"115/04/11","115/3","1268","漢來美食","觀光餐旅","583961","753909","487263","-22.54224316197313","19.8451349681794","1988327","1735459","14.570669776698844","-"
"115/04/11","115/3","1294","漢田生技","食品工業","76113","61511","73692","23.73884345889353","3.2852955544699562","228051","174677","30.55582589579624","-"
"115/04/11","115/3","1295","生合","食品工業","79388","54071","95889","46.82177137467404","-17.208438924172743","214544","233724","-8.206260375485616","-"
"115/04/11","115/3","1336","台翰","電子零組件業","214212","147511","233570","45.21764478581258","-8.287879436571478","558637","622572","-10.26949493391929","-"
"115/04/11","115/3","1565","精華","生技醫療業","305118","283452","376908","7.643622200584226","-19.04708841414881","899543","1110980","-19.03157572593566","-"
"115/04/11","115/3","1569","濱川","電腦及週邊設備業","373329","191198","335086","95.25779558363581","11.412891019021982","806020","818505","-1.5253419343803643","-"
"115/04/11","115/3","1570","力肯","電機機械","52171","22460","37267","132.2840605520926","39.99248665038774","119412","121072","-1.37108497423021","-"
"115/04/11","115/3","1580","新麥","電機機械","351484","312560","414021","12.453288968518045","-15.104789370587483","1094432","1089039","0.4952072423485293","-"
"115/04/11","115/3","1584","精剛","其他","148942","149886","227919","-0.6298119904460724","-34.65134543412353","513036","676003","-24.107437393029322","-"
"115/04/11","115/3","1586","和勤","電機機械","184217","145330","197556","26.75772380100461","-6.752009556783899","547977","542289","1.0488872169636485","-"
"115/04/11","115/3","1591","駿吉-KY","電機機械","50028","38316","2158","30.56686501722518","2218.257645968489","132360","13538","877.6924213325455","本期銷售數量增加所致"
"115/04/11","115/3","1593","祺驊","運動休閒","102625","85852","95390","19.5371103759959","7.584652479295523","304299","276336","10.119202709744659","-"
"115/04/11","115/3","1595","川寶","電子零組件業","66552","41533","84144","60.238846218669494","-20.907016543069023","166389","208652","-20.255257558039222","-"
"115/04/11","115/3","1599","宏佳騰","電機機械","246130","177997","197084","38.277611420417195","24.88583548131761","637637","495965","28.564918895486578","-"
"115/04/11","115/3","1742","台蠟","化學工業","7279","4051","14782","79.68402863490496","-50.75767825734001","17633","40850","-56.834761321909426","本月營收及累計營收較去年同期減少，係因蠟品及水產較去年同期減少"
"115/04/11","115/3","1777","生泰","生技醫療業","87311","101561","84039","-14.030976457498449","3.893430431109366","275573","315750","-12.7243072050673","-"
