出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/03/10","115/2","1240","茂生農經","農業科技","205555","216068","202227","-4.86559786733806","1.6456754043723143","421623","433662","-2.776125185051953","-"
"115/03/10","115/2","1259","安心","觀光餐旅","493761","510795","442735","-3.3348016327489503","11.525178718646595","1004556","975600","2.968019680196802","-"
"115/03/10","115/2","1264","德麥","食品工業","451745","720821","412565","-37.32910112219261","9.496685370790058","1172566","1094007","7.180849848309928","-"
"115/03/10","115/2","1268","漢來美食","觀光餐旅","753909","650457","466265","15.904510213588292","61.69109840970264","1404366","1248196","12.511656823127137","年節效益"
"115/03/10","115/2","1294","漢田生技","食品工業","61511","90427","59494","-31.97717495880655","3.3902578411268363","151938","100985","50.45600831806704","本月營收較去年同期增加，主係市場需求增加所致。"
"115/03/10","115/2","1295","生合","食品工業","54071","81085","66946","-33.31565640994019","-19.231918262480207","135156","137835","-1.943628251169877","-"
"115/03/10","115/2","1336","台翰","電子零組件業","147511","196914","188771","-25.08861736595671","-21.857170857811845","344425","389002","-11.459324116585519","-"
"115/03/10","115/2","1565","精華","生技醫療業","283452","310973","403011","-8.849964466368462","-29.666435903734637","594425","734072","-19.02361076297693","-"
"115/03/10","115/2","1569","濱川","電腦及週邊設備業","191198","241493","227031","-20.826690628713877","-15.783307125458638","432691","483419","-10.493588377784075","-"
"115/03/10","115/2","1570","力肯","電機機械","22460","44781","28798","-49.84480025010607","-22.00847281061185","67241","83805","-19.764930493407313","-"
"115/03/10","115/2","1580","新麥","電機機械","312560","430388","293518","-27.377157355688357","6.487506728718511","742948","675018","10.063435345427825","-"
"115/03/10","115/2","1584","精剛","其他","149886","214208","224124","-30.027823423961756","-33.12362799164748","364094","448084","-18.7442533096473","-"
"115/03/10","115/2","1586","和勤","電機機械","145330","218429","157756","-33.465794377120254","-7.876721012196049","363759","344733","5.519053876478318","-"
"115/03/10","115/2","1591","駿吉-KY","電機機械","38316","44016","7415","-12.949836423118866","416.7363452461227","82332","11380","623.4797891036907","本期銷售數量增加所致"
"115/03/10","115/2","1593","祺驊","運動休閒","85852","115822","84716","-25.875913038973597","1.34095094197082","201674","180946","11.4553513202834","-"
"115/03/10","115/2","1595","川寶","電子零組件業","41533","58304","72509","-28.76475027442371","-42.72021404239474","99837","124508","-19.814791017444662","-"
"115/03/10","115/2","1599","宏佳騰","電機機械","177997","213510","146222","-16.63294459275912","21.730656125617212","391507","298882","30.9904912306529","-"
"115/03/10","115/2","1742","台蠟","化學工業","4051","6303","14617","-35.72901792797081","-72.28569473900254","10354","26068","-60.280804050943686","本月營收及累計營收較去年同期減少，係因蠟品及水產較去年同期減少"
"115/03/10","115/2","1777","生泰","生技醫療業","101561","86700","135248","17.14071510957324","-24.907577191529633","188261","231711","-18.751807208117008","-"
"115/03/10","115/2","1781","合世","生技醫療業","32398","37098","30079","-12.669146584721549","7.709697795804382","69496","82591","-15.855238464239445","-"
"115/03/10","115/2","1784","訊聯","生技醫療業","80708","106817","93430","-24.44273851540485","-13.616611366798672","187525","179882","4.24889649881589","-"
"115/03/10","115/2","1785","光洋科","其他電子業","3939518","4662202","2417634","-15.500915661740954","62.94931325419811","8601720","5197431","65.49945540402557","主係業績增加所致，其中貴金屬營收年增率78%，VAS營收年增率15%"
"115/03/10","115/2","1788","杏昌","生技醫療業","332274","420924","310876","-21.060809077173076","6.883130251289903","753198","680735","10.644817733773055","-"
"115/03/10","115/2","1796","金穎生技","食品工業","46034","54413","44823","-15.39889364673883","2.70173794703612","100447","105848","-5.102599954651954","-"
"115/03/10","115/2","1799","易威","生技醫療業","59128","77447","42667","-23.65359536198949","38.580167342442635","136575","74905","82.33095253988385","因新藥/學名藥產品出貨較去年同期增多，故營收成長。"
"115/03/10","115/2","1813","寶利徠","生技醫療業","18959","28118","29728","-32.573440500746855","-36.22510764262648","47077","52798","-10.835637713549756","-"
"115/03/10","115/2","1815","富喬","電子零組件業","629431","570799","391531","10.271917084648011","60.76147227167198","1200230","870456","37.885200400709515","主要受高階薄布需求大幅增加。"
"115/03/10","115/2","2035","唐榮公司","鋼鐵工業","643990","917938","898050","-29.843845662778968","-28.290184288179944","1561928","1533306","1.8666854496101888","-"
"115/03/10","115/2","2061","風青","電器電纜","72639","132378","93376","-45.127589176449256","-22.20806202878684","205017","185771","10.360066964165558","-"
"115/03/10","115/2","2063","世鎧精密","鋼鐵工業","67330","65803","69262","2.3205628922693493","-2.7894083335739657","133133","148709","-10.474147496116577","-"
"115/03/10","115/2","2064","晉椿","鋼鐵工業","120884","153852","130575","-21.42838572134259","-7.4217882443040395","274736","242723","13.189108572323184","-"
"115/03/10","115/2","2065","世豐","鋼鐵工業","179048","180374","202049","-0.7351392107509952","-11.383872229013754","359422","387484","-7.242105480484356","-"
